from,to,weight
美国,0,0
英国,0,0
新加坡,0,0
加拿大,0,0
澳大利亚,0,0
德国,0,0
韩国,0,0
法国,0,0
马来西亚,0,0
日本,2010,14
英国,2010,6
新加坡,2010,4
加拿大,2010,3
澳大利亚,2010,2
德国,2010,1
韩国,2010,0
法国,2010,1
马来西亚,2010,1
日本,2010,1
美国,2011,15
英国,2011,1
新加坡,2011,0
加拿大,2011,0
澳大利亚,2011,3
德国,2011,0
韩国,2011,0
法国,2011,1
马来西亚,2011,0
日本,2011,0
美国,2012,40
英国,2012,5
新加坡,2012,4
加拿大,2012,8
澳大利亚,2012,5
德国,2012,13
韩国,2012,0
法国,2012,5
马来西亚,2012,1
日本,2012,0
美国,2013,74
英国,2013,20
新加坡,2013,9
加拿大,2013,20
澳大利亚,2013,13
德国,2013,19
韩国,2013,2
法国,2013,21
马来西亚,2013,4
日本,2013,2
美国,2014,107
英国,2014,35
新加坡,2014,22
加拿大,2014,38
澳大利亚,2014,17
德国,2014,18
韩国,2014,2
法国,2014,30
马来西亚,2014,9
日本,2014,5
美国,2015,260
英国,2015,75
新加坡,2015,33
加拿大,2015,42
澳大利亚,2015,31
德国,2015,44
韩国,2015,16
法国,2015,43
马来西亚,2015,13
日本,2015,11
美国,2016,569
英国,2016,187
新加坡,2016,110
加拿大,2016,113
澳大利亚,2016,84
德国,2016,99
韩国,2016,63
法国,2016,78
马来西亚,2016,46
日本,2016,24
美国,2017,1091
英国,2017,330
新加坡,2017,225
加拿大,2017,211
澳大利亚,2017,148
德国,2017,167
韩国,2017,120
法国,2017,144
马来西亚,2017,88
日本,2017,39
美国,2018,1543
英国,2018,573
新加坡,2018,352
加拿大,2018,387
澳大利亚,2018,262
德国,2018,229
韩国,2018,256
法国,2018,212
马来西亚,2018,173
日本,2018,69
美国,2019,2478
英国,2019,1070
新加坡,2019,681
加拿大,2019,584
澳大利亚,2019,443
德国,2019,413
韩国,2019,414
法国,2019,340
马来西亚,2019,378
日本,2019,172
